AmbiguousDNA
 A   T   G   C   S   W   R   Y   K   M   B   V   H   D   N
 5  -4  -4  -4  -4   1   1  -4  -4   1  -4  -1  -1  -1   0
-4   5  -4  -4  -4   1  -4   1   1  -4  -1  -4  -1  -1   0
-4  -4   5  -4   1  -4   1  -4   1  -4  -1  -1  -4  -1   0
-4  -4  -4   5   1  -4  -4   1  -4   1  -1  -1  -1  -4   0
-4  -4   1   1	 5  -4  -2  -2  -2  -2  -1  -1  -3  -3   0
 1   1  -4  -4  -4   5  -2  -2  -2  -2  -3  -3  -1  -1   0
 1  -4   1  -4  -2  -2   5  -4  -2  -2  -3  -1  -3  -1   0
-4   1  -4   1  -2  -2  -4   5  -2  -2  -1  -3  -1  -3   0
-4   1   1  -4  -2  -2  -2  -2   5  -4  -1  -3  -3  -1   0
 1  -4  -4   1  -2  -2  -2  -2  -4   5  -3  -1  -1  -3   0
-4  -1  -1  -1  -1  -3  -3  -1  -1  -3   5  -2  -2  -2   0
-1  -4  -1  -1  -1  -3  -1  -3  -3  -1  -2   5  -2  -2   0
-1  -1  -4  -1  -3  -1  -3  -1  -3  -1  -2  -2   5  -2   0
-1  -1  -1  -4  -3  -1  -1  -3  -1  -3  -2  -2  -2   5   0
 0   0   0   0   0   0   0   0   0   0   0   0   0   0   5
